Gene,OncoPredictsGenes,TMPredictsGenes,ActualLabel
RAF1,6,1,1
TEAD1,2,0,-3
ATM,4,18,-1
GRAP2,7,0,-3
ATR,0,14,-1
DYRK2,2,3,-3
CDK2,14,13,-3
SGK1,6,6,1
GNB1,7,0,1
GNAZ,1,0,-3
RPS6KA3,8,4,-3
MYO18A,2,0,-2
MALT1,1,0,-2
NTF3,4,0,-3
NTF4,3,0,-3
MAPK1,23,28,1
MAPK3,23,27,1
PSMA3,0,1,-3
FN1,4,0,-3
PRKACA,17,13,1
RPS6KB1,5,4,-3
BUB1,1,0,-3
UBE2D2,0,1,-3
ABL1,17,7,1
CDH1,1,2,-1
TRIB3,0,2,-3
CSNK2A1,14,11,-3
SLA,0,2,-3
KLRC2,5,0,-3
CDK1,21,11,-3
CAMK2A,4,5,-3
KLRD1,5,0,-3
ARHGDIA,3,2,-3
CLTC,1,2,-2
AURKB,5,2,1
SH3KBP1,4,0,-3
ESR1,6,0,1
MKNK1,1,0,-2
MKNK2,1,0,-3
GSK3B,8,19,1
DCAF1,0,1,-3
PLK1,9,3,-3
MLST8,3,1,-3
FGFR1OP2,4,0,-3
CHEK1,2,5,-1
ARAF,6,0,1
LKB1,1,0,-3
EGF,8,2,-3
CDK4,7,4,1
KLRK1,5,0,-3
PRKCD,9,7,-3
LMNA,4,0,-2
GRK6,2,1,-3
GRK2,1,0,-3
BLK,2,0,-3
MAPK12,1,2,-3
CDK5,10,5,-3
NRG1,5,0,1
TP53BP1,1,4,-1
XPO1,1,7,1
CREBBP,8,2,-1
HIST1H2BB,0,2,-3
HIST1H2BD,0,2,-2
HIST1H2BA,0,2,-3
HIST1H2BN,0,2,-3
HIST1H2BO,0,2,-2
HIST1H2BJ,0,2,-2
HIST1H2BK,0,2,-2
HIST1H2BL,0,2,-3
HIST1H2BM,0,2,-3
HIST1H2BG,0,2,-2
HIST1H2BH,0,2,-3
XRCC5,0,1,-3
XRCC6,0,1,-3
FGFR4,4,0,1
ABL2,5,0,1
CD3G,7,1,-3
CD3D,4,1,-3
RASA1,1,2,-1
CD3E,4,1,-3
VAV1,9,0,1
CD28,1,0,1
CD19,2,0,-3
PCNA,1,0,-3
CD86,1,0,-3
CD80,1,0,-3
JAK2,19,2,1
EPHB1,4,0,-1
GRB2,24,7,-3
IGLV7-43,4,0,-3
CHK1,0,1,-3
NEK1,1,0,-3
NEK2,1,0,-3
PRKG1,2,2,-3
PRKG2,1,2,-3
RAC1,2,1,1
CD8A,2,1,-3
CD8B,2,1,-3
AKT1,20,18,1
AKT2,8,4,1
TGFBR2,0,1,-1
ABI1,0,1,-2
YWHAB,15,9,-3
IRAK1,2,3,-3
CALM1,4,3,-3
PIP5K1A,3,0,-3
PIP5K1B,3,0,-3
EIF2AK2,1,3,-3
PRKD1,4,3,-2
CSNK1D,3,6,-3
DYRK3,0,1,-3
CLCN6,4,0,-3
RICTOR,3,1,1
INSR,12,1,1
LYN,18,5,1
IGLV2-23,4,0,-3
IGLV2-11,4,0,-3
IGLV2-14,4,0,-3
BTC,6,0,-3
IGLV2-8,4,0,-3
RAD50,0,7,-1
RPTOR,0,3,1
CAMK2G,7,0,-3
H2AFX,0,3,-3
RELA,3,1,-3
CAMK2B,5,2,-3
CAMK2D,5,0,-3
PKN1,5,2,-3
PTPN1,4,7,0
ARRB2,2,0,-3
LATS2,0,3,-1
TNNI3K,2,0,-3
BTRC,7,6,-3
PAK1,11,2,1
CDK7,2,5,-3
CXCR4,5,0,1
FAAP100,0,1,-3
CRK,6,3,-3
LRRK2,1,0,-2
PRKAA1,6,6,-3
PRKAA2,3,4,-3
NTRK1,2,1,1
SRC,45,9,1
HERC2,1,2,-3
BMX,2,1,-3
ILK,1,1,-3
GNG2,6,0,-3
NGFR,0,1,-3
DCLK1,1,0,-3
H2BFS,0,2,-3
PTK2B,3,1,-3
B2M,7,1,-1
HIST3H3,0,2,-2
YWHAG,6,4,-3
PKC,5,2,-3
PRKCA,12,17,-3
DAPK1,0,1,-3
BIRC5,1,0,-3
CSNK2B,2,2,-3
STK17A,1,1,-3
SP1,1,1,-3
UNC5B,1,0,-3
GIT1,1,0,-3
INS,5,0,-3
PRKCZ,5,6,-3
PRKD3,0,1,-3
MAP2K1,8,3,1
MAP2K4,0,1,-1
PIN1,14,5,-3
CTNNB1,4,4,1
PRKCQ,2,1,-3
PRKCE,6,2,-3
PRKCH,0,1,-3
IGKV1D-12,4,0,-3
IGKV1D-16,4,0,-3
TOPBP1,1,7,-3
HSP90AA1,5,1,-2
IGKV1D-39,4,0,-3
IGKV1D-33,4,0,-3
PRKCI,2,0,1
ZMYM2,4,0,-2
AMP,3,1,-3
CLK2,3,0,-3
SYK,6,3,1
CCNB1,1,0,-3
YWHAH,1,2,-3
FGFR1,3,0,1
FGFR2,3,3,1
NBN,0,9,-1
BLM,1,1,-1
PDPK1,9,1,-2
CaMK2,1,0,-3
PIM2,2,1,-3
RGS13,1,0,-3
CDK9,5,4,-3
FGF17,7,0,-3
FGF18,6,0,-3
FGF19,4,0,1
FGF16,6,0,-3
FGF10,5,0,-2
IGLV6-57,4,0,-3
SKP2,3,1,-3
IGHV2-70,4,0,-3
FGF20,7,0,-3
FGF23,8,0,-2
FGF22,4,0,-3
IGF1R,1,0,1
LCK,19,4,1
FBXW7,4,4,-1
MAPKAP1,3,0,-2
DOK1,1,0,-3
MAP3K7,0,3,-2
CD4,3,1,-3
MAP3K5,0,3,-3
BTK,6,0,1
DYRK4,1,0,-3
CDC25A,0,1,-3
FYN,20,5,1
CHEK2,3,6,-1
AURKA,3,6,1
MAPK10,3,2,-3
EPGN,3,0,-3
NRAS,10,0,1
NEK3,1,0,-3
TRAF6,2,2,-3
PRKCB,8,3,-3
RFC2,0,6,-3
RFC3,0,6,-3
RFC4,0,6,-3
RFC5,0,6,-3
PTEN,1,5,-1
MAP3K11,0,1,-3
GSK3A,1,6,-3
CDC42,2,0,1
E2F1,0,2,-3
CAMK1,3,0,-3
CAMK4,1,0,-3
STK3,1,5,-3
HIPK2,1,5,-3
CSNK1A1,3,4,-3
ALMS1,1,0,-3
PAK2,4,0,-3
PAK3,2,0,-2
CDK6,5,3,1
PTK2,5,0,-3
TRAC,4,1,-3
MTOR,8,1,1
NRG2,4,0,-3
NRG3,4,0,-3
NRG4,4,0,-3
YWHAQ,2,1,-3
RIPK3,0,1,-3
CSF2,4,0,-3
MAPK14,14,6,-3
STK16,1,0,-3
TCF4,5,0,-3
IGHE,4,1,-3
RAPGEF1,1,0,-3
FCER1A,1,0,-3
NEK6,3,0,-3
FCER1G,3,0,-3
IGKC,4,0,-3
NGF,3,1,-3
STUB1,0,1,-3
MAPK8,7,10,-3
MAPK9,5,3,-3
RALA,1,1,-3
RALB,1,0,-3
ZC3HAV1,4,0,-3
MAP2K2,6,0,1
IGLV3-27,4,0,-3
IGLV3-21,4,0,-3
IGLV3-25,4,0,-3
BDNF,5,0,-3
IGLV3-19,4,0,-3
PTPN11,22,13,1
TP53,2,2,-1
AMOTL2,0,2,-3
AMOTL1,0,2,-3
IL10RB,1,0,-3
TNFRSF1A,0,1,-3
AKAP5,0,1,-3
EREG,6,0,-3
MELK,1,2,-3
PPP2CB,1,9,-3
PPP2CA,5,9,-3
TRBV12-3,2,0,-3
EP300,11,3,-1
MAP3K8,6,2,-3
RNF8,0,3,-3
NCAM1,1,0,-3
BECN1,2,0,-3
CDK8,1,1,1
GNAO1,1,0,-3
PPM1A,2,0,-3
IRS1,3,1,1
MS4A2,1,0,-3
PIK3R1,15,3,-1
MAPKAPK5,0,3,-3
USP7,1,0,-3
PIK3R6,6,1,-3
NR4A1,1,0,-3
PPP1R8,1,0,-3
IFNAR1,1,0,-3
TYK2,5,1,1
IFNAR2,1,0,-3
TGFBR1,1,1,-1
BRAF,6,0,1
IL2,8,0,-2
LCP2,7,0,-3
DDR2,1,1,1
ZAP70,2,2,-3
RHOA,1,1,1
CDK16,0,1,-3
CDK14,1,0,-3
EGFR,12,4,1
EPO,5,0,-3
FGFR1OP,4,0,-2
CHK2,0,3,-3
PLCG1,13,0,1
STK11,1,3,-1
GNAI1,1,0,-3
GNAI2,2,0,-3
GNAI3,1,0,-3
DAB1,1,0,-3
CHUK,7,5,-3
AKT3,5,4,1
FOXA1,1,0,0
POLA2,1,0,-3
IKBKE,2,3,1
ARRB1,5,0,-3
PKB,1,0,-3
IGHV3-53,4,0,-3
IGHV3-48,4,0,-3
IGHV3-30,4,0,-3
IGHV3-33,4,0,-3
YES1,10,2,1
IGHV3-23,4,0,-3
IGHV3-13,4,0,-3
IGHV3-11,4,0,-3
SOS1,11,1,1
NEDD4,1,0,-3
BMPR1B,0,1,-3
STK38,1,1,-3
HLA-DRA,3,1,-3
MARK3,4,2,-3
RIPK2,0,1,-3
PRKDC,2,4,-2
FGF8,7,0,-3
FGF9,7,0,-3
FGF4,7,0,1
FGF5,6,0,-3
FGF6,6,0,-2
FGF7,4,0,-3
FGF1,7,0,-3
FGF2,7,0,-3
FGF3,4,0,1
CENPJ,1,0,-3
CDKN1A,0,3,-1
TTK,1,2,-3
MET,5,2,1
IL1B,2,0,-3
ERBB2,5,1,1
VRK1,1,1,-3
VRK2,0,1,-3
MDM2,4,3,1
IL12RB1,3,1,-3
CIP2A,1,0,-3
PRKCG,3,2,-3
PDGFR,1,0,-3
PAPSS1,4,0,-3
PIM1,4,1,-2
PAG1,0,1,-2
PAK4,2,0,-3
ARHGEF7,2,0,-3
STRADA,0,4,-3
FBXW11,0,1,-3
MAPK11,6,3,-3
BCR,4,0,1
CHAF1A,0,1,-3
SRPK2,1,1,-3
ITCH,0,1,-3
GAB1,10,0,1
TRBC1,4,1,-3
CBL,6,2,-1
PRKACB,2,0,-3
TUBA4A,2,1,-3
PRKACG,2,0,-3
IKBKB,5,5,-2
FGR,2,1,-3
EIF4EBP1,0,1,-3
IGKV2D-40,4,0,-3
IGKV2D-30,4,0,-3
PIK3CA,9,1,1
PIK3CB,6,0,1
IGKV2D-28,4,0,-3
PIK3CG,6,0,1
SHC1,19,2,-3
IKBKG,0,4,-3
WWP2,1,0,-3
CSNK1G2,2,1,-3
RIF1,0,1,-3
CD247,7,1,-3
SIRT1,1,0,-3
CALM2,2,3,-3
PAK5,1,0,1
PRKAB2,1,2,-3
CSF2RA,4,0,-3
CSF2RB,4,0,-3
MAPK7,1,0,-3
HIST3H2BB,0,2,-3
PRKAG2,1,2,-3
CSNK2A2,2,3,-3
HCK,7,1,-3
RNF4,1,1,-3
SMO,1,0,1
